ID,Post,Labels,Simple_Labels,SubCategory,"Simple_Labels,SubCategory",,
2249,હા આજ મોદીજી કેતા હતા કે ચાઈનાં સામે લાલ આંખ કરવાનીં જરૂરછે અને સતા ઉપર આવ્યા પછી ચાઈનાં કેટલુ અંદર ઘુસી ગયુછે એ દેશ નહીં વિશ્વ જાંણેછે તો અત્યારે લાલ આંખ કરવમાં શું વાંધોછે ભાઈ કે તમારી ગાંડ લાલ થઈ જાયછે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2250,મનીષભાઈ વિપક્ષ વાળાને તો ક્યાં બોલ વાત થઇ છે તરફથી તો પોલીસ પકડી જાય છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2251,ભાજપ ને અને એનાં ભક્તોને એમજછે કે ભારતનો જન્મ 2014 પછીજ થયોછે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2252,ભાઈ નેતાઓ નુ પેન્શન બંધ કરો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2253,મહેશભાઈ તમને બધા લોકો ગાળો દેશે મોબાઇલમાં તમને શરમ નથી આવતી બિલકુલ,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2254,મહેશ નો કો ખેડુતો હાલ આઠ મહીના થી બેઠા છે તો શુ છે સાભળનાર છે ખોડી ઠંફાસ ન મારો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2255,આમ આદમી પાર્ટી આવે છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2256,થાપર સાહેબ ની વાત બિલકુલ સાચી છે કેમકે પાંચ વર્ષ ની અંદર પ્રજા ને વિપક્ષ હોય એવો અનુભવ થયો જ નથી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2257,અકાલી દલ બીલ લાવ્યા તે પેલા જ તમારી સાથે છેડો ફાડી નાખ્યો તો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2258,મહેશ કસવાલા તમે સાંભળો છો ક્યાં નાલાયક ના પેટનાવ ખાલી વાતો કરવાથી પેટ ના ભરાય,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2259,પેટ્રોલ ડીઝલ અને રાંધણગેસના ભાવ વધારવા બાબત મોદી ને ખુબ ખુબ અભિનંદન,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2260,ફેંકુ થી વિપક્ષ ની ફાટે છે કે બંને એક જ છો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2261,મહેશ ને મજા નહીં આવે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2262,આ મહેશને બકવાસ કરવા રાખેલ છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2263,બીજેપી ભક્તોનીં અત્યાયે એવી હાલતછે કે ગાંડ બળેછે અને કોઈને કહી પંણ નથી સકતા,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2264,ભુડનિ ઓલાદ છે કસવાલા,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2265,નેતાઓ પેન્શન લાયક નથી બંધ કરો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2266,મહેશભાઈ ને ડીબેટ મા ન બોલાવો ભાઈ જુઠું બોલવામાં માહેર છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2267,તારા બાપ બેઠા પણ સાંભળવા નિ તાકાત છે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2268,એ કસવાલા તું માપ માં રે ને,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2269,મહેશભાઈ ફાકા મારવાનીં હદ હોય,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2270,આ મહેશ ભાઈ મોંઘવારી ની વાત કરો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2271,નેતાઓ ના હીત મા નીરણય લેવાશે જય હો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2272,કોઈના થી કંઈ પણ થવાનુ નથી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2273,મહેશભાઈ તમારી સરકાર કોઈની વાત સાંભળતીજ નથી,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2274,પાશ ઈના વાહેનો ગરીજાતા,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2275,ભાજપ નો ડોબો છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2276,"ઇશુદાન,ગડવીને,સીયમ બનાવાના સે,ભાજપીયાવ જોજો","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2277,"કમલમ્. નુ હીત જોવા કરતા
જનતા જનાર્દન નો હીત ,,
દેશ રાષ્ટ્ર હિત માટે કામગીરી થવી જોઈએ","""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
2278,"ભાજપ્ સરકારે દેશ ની જનતાને ભોય ભેગી કરી નાખી, હવે મોદી સાહેબના શબ્દોમાં ના ભાઈઓ-બહેનો ગેસ કા ભાવ પેટ્રોલ diesel કા ભાવ ગટના ચાહીએ કે નહિ બોલો ગટના ચાહીએ!!!ભાજપ્ ને ખબર છે કે અમે હારવાના છે માટે જનતાને જેટલી લૂટવી હોય તેટલી લૂટો માટે બીજી કોઈ પાર્ટી સતા પર્ આવનાર ને સરકાર્ ચલાવવામાં ૨-૩ વર્ષ સુધી લાગે.","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2279,કોઈ મીડિયા મોંઘવારી ની વાત નથી કરતી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2280,બેકારી બેરોજગારી મોંઘવારી ભ્રષ્ટાચાર ગોટાળા,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2281,મહેશભાઈ આજે કોઈ નેતા લોક શાહિને લાઈક નથી,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2282,મહેશ કસવાલા એક નંબરનો ખોટુ બોલનારો છે. અમરેલી જીલ્લાનો બોગસ છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2283,મહેશ હડકાયા કૂતરાએ છે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2284,ગુજરાત રાજ્યમાં પેટ્રોલ ૧૦૦ રૂપિયાની પાર કરવા બદલ PM નરેન્દ્ર મોદી સાહેબને ખૂબ ખૂબ અભિનંદન,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2285,મોંધવારી થી લોકો ત્રાહિમામ પોકારી ગયા છે વિરોધપક્ષ નબળો પડે છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2286,મહેશભાઈ તમારા જેવા માદરચોદ છો દેશને બરબાદ કરી દીધો છે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2287,૨૦૧૪ પછી દેશનું અર્થતંત્ર છીન ભીન કરવાનો મોટો શ્રેય ભા.જ.પ.ને જાય છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2288,તમામ નેતાઓનું પેન્શન બંધ કરો.નેતાઓ રાજ્ય સરકારના નોકરો નથીં,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2289,મનસ્વી ભાઇ તમો સત્ર ટુકાવાની ભા.જ.પ.ની આદત પેલાથી જ છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2290,મહેશભાઈ વાલાની કહો તારી ના કર માદર ચોદ,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2291,જયાં સુધી મોદી સાહેબ છે ત્યાં સુધી ગુજરાતમાં તો નહીં પરંતુ સમગ્ર દેશમાં બીજેપી હરાવવી મુશ્કેલ છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2292,ખેડૂત પરિવાર ખુબ દુખી છે મોંઘવારી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2293,લોકશાહીમાં લોકોને ઉલ્લુ બનાવવાનું પ્રોગ્રામિંગ એટલે આ સત્ર.,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2294,મહેશભાઈ તમે ઘરમાં ઝગડો તેવુ લાગે છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2295,કસવાલા ખેડૂતોના આંદોલન બાબત તો જવાબ તો આપો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2296,મોંઘવારી બેરોજગાર અને ખેડૂતો ના હીત માટે કંઈક વીચારે તો સારું,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2297,વિપક્ષ બોલાતું નથી એવું કેવાવાળા એટલુંતો સમાજેસે કે ખોટુંતોસે પણ સરકાર નહીં વિપક્ષ હલકરે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2298,મહેશભાઈ તમારા શિવાય બધા વિદ્વવાન છે ડિબેટ મા બેઠા છે તે તમારા મા એક ટકો માણસાઈ બચી હોય તો ડિબેટ મા ના આવતા,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2299,નેતાઓ દેશ ને વેસવા બેઠા છે ખેડુત નું બંધુ લયજા છે તો અજુ કેટલુ બાકી રયુ તોય દેશ નું દેણું ભરાતું નથી,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2300,પેટ્રોલનાં 25 પૈસાનાં ભાવ વધારા સામે અટલ બીહારી બાજપાઈ બળદ ગાડામાં બેસીને સંસદ ભવન સુધી ગ્યાતા તો અત્યારે એનેજ 100ને પાર કરી દીધુ હવે શું કરવુ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2301,આ મહેશ કસવાલા બક્વાસ નથી કરતો જાણે અને એની એ શું છે આપણી બક્વાસ કરે છે ચોદું તો શર્મા થોડો શરમાળ મેં તને જોઈ અને તારી bibek જોવા માગતા નથી,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2302,મોટી મોટી રહેવાદયો તેલ ગેસ પેટ્રોલ ડીજલની મોઘાઈ નુ કરો મજુર નાના માણસની વાત સાભલો રાજકારણ રહેવા દ્યો ખુરસી માટે ખેલ છોડીદયો ભગવાન તમનેતો પુસસે તમારા પરીવારનેય પુસસે ભૂલહસે તો બદલો પણલેસે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2303,બિજી લહેર ની જવાબદારી લેવાનું કહો બંગાળ માં ચુંટણી ના કારણે આવી હતી,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2304,પ્રજા સમજી નઈ પછી મોદી નો વાક કાઢશે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2305,હિંદુઓ જાગો....વોટ આપીને સુઈ જાઓ..... જુઓ તમારી દશા ધર્મ અને જાતી ના નામે વોટ આપો હજુ....,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2306,કુતરીના ગલુડીયાની આખુ 7 દી એ ખુલી જાય . ભક્તો તો કુતરામાથી પણ ગયા,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2307,જવાબ આપવાની તેવડ નો હોય હોદ્દા પરથી રાજીનામું આપી દેવું જોઇએ.,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2308,આપો હજુ મત કમળ ને કરડ્યું ને કમળ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2309,ધર્મના નામે જ્યારે પણ તમે વોટ આપશો ત્યારે ત્યારે તમારી આ દશા થશે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2310,47 શુ તમે એક હજાર ફોન કરો ને તોય કોઈ સાભપવાનુ નથી,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2311,"હવે આ લોકો ના પાપ ભરણા છે.2022 માં આનો મિત્રો આપ જો. પેટ્રોલ ડિઝલ ના ભાવ, ખાતર બિયારણ ના ભાવ મોંઘવારી વધારી દીધી, માસ્ક ના દંડ, આનો જવાબ આપવા માં આવે સે, પાછા જય શ્રી રામ ના નાદ સાથે મળી નો જતા, બીજેપી હતોવો,","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2312,હજી તો વિકાસ ની શરૂવાત થઈ છે આને કહેવાય કોર્પોરેટર પાવર,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
2313,અતુલ ભાઈ હવે ચૂંટણી આવે ત્યારે આને ભૂલી ન જતાં,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2315,"મત આપતી વખતે મગજ એને આંખ ખુલી રાખવી .......
નહીતર આજ હાલત થવાની","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2316,હવે ચુ... મત લેવા માટે નવરો થતો નય!!! નહિ તો હાથ પગ છૂટા થય જસે... દેખાતો નય...,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2317,ભાજપ ભગાવો દેશ બચાવો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2318,આવા રોજ ભાજપ ના ૨_૩ કોર્પોરેટર ને નેતા ના ઓડિયો આવે છે રોજ જોવ છું હું તોય દર ચૂંટણી માં ભાજપ જીતી જાય છે તો મત આપે છે કોણ આને ??,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2319,બેલેટ પેપરથીવોટીંગ થવુ જોઈએ કોને કેટલા મત મળેસે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2320,આમ કોર્પોરેટર જવાબ આપે તો જનતા નું કોણ? કોર્પોરેટર રાખ્યા હોઈ સુ કામ?,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2321,તારી મા ફડાવા કોર્પોરેટર બનો છો,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2322,મારા બેટા જાણે ખેસતો જાણે બાપાએ વારસદારી મો આપયો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2323,આ બધા ભાદરવા ના વરસાદ ની જેમ જશે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2324,આઘળા બનીને મત આપો અેટલે આવા જવાબ મળે.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2325,આબઘાય EVM નોપાવર સે બાકી ડિપોઝીટ નોબસાવી હગે આવા ની ઓકાતનથી જીતવાની,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2327,હવે કમળના ખેશ ઉતરીજવાનાછે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2328,ઇહરામી ની ઓલાદુ કેવી વાત કરે છે સાભલી લયો મત માગવા આવે પછી જય હીનદ નોટુ બનાવે છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2329,રાજકીય પાર્ટીઓ ના મેળાવડા પર બોલતા તમારી મીડિયા વાળાની શું ફાટે છે..????,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2330,"Good sir, તમારા જેવા બીજા વકીલ પણ નિડરતાથી જનતાને ન્યાય અપાવવા માટે મેદાને પડે તો જ પોલીસવાળા સુધરશે.આખા ગુજરાતમાં પોલીસ સ્ટેશનમાં સામાન્ય જનતા સાથે પણ પોલીસ ગાળોબોલીને જ વર્તન કરે છે.🙏🙏🙏🙏","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2331,હવે તો પ્રજા એ જ ભેગા થઈ ને આ નાલાયક પોલિસ વાળા વિરૂદ્ધ બળવો કરવો જોઈએ અને જાહેર માં સળગાવી દેવા જોઇએ.. પોલીસ ના નામ ને બદનામ કરનારા છે,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
2332,અંગ્રેજ શાસન થય ગયુ છે સારું છે તમારી જેવા વકીલ છે નહિતર સાવજ ને કોણ કે તારું મોઢું ગંધાય,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2333,TRB અને હોમગાર્ડ ને કોઈ સત્તા નથી તો પણ આ લોકો ખોટી રીતે પબ્લિક ને હેરાન કરતા હોય છે..8 પાસ પર ભરતી થયેલા માણસો કાયદા અને કલમો શીખવાડે છે..હજી કાલે જ એક TRB જવાન મેમો બુક લઇ ને ઉભા હતા..,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2334,"Ashvin Chauhan એ બધા લાઈન બોય છે , સંવેદના વગરના !!","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2335,આ લોકો ને બહુ ચરબી ચઢી છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2336,આ trb માં નકરા લુખ્ખા તત્વો જ ભરેલા છે આખો દિવસ તોડપાની કરે છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2337,"મેહુલભાઈ તમારું કામ બિરદાવવા લાયક છે સલામ છે તમને....
પણ ડ્રાઇવર તમારી હાજરી મા પોલીસ ને જેમ ફાવે એમ બોલે છે એ વસ્તુ વ્યાજબી નથી મેહુલભાઈ.....
બાકી આપના કામ ને ૧૦૦ ૧૦૦ સલામ છે મોટાભાઈ","""Hate"",""Positive""",Hate,Positive,"Hate,Positive","""Hate""","""Positive"""
2338,Kuldip Ramanuj પોલીસ વાળા બધા ખરાબ નથી હોતા પણ અમુક પોલીસ વાળા ને લીધે આખુ પોલીસ સ્ટેશન,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2339,"આજે vip સર્કલ મોટા વરાછા ટાઈમ 6:75 TRB ફરજ પર નૉ વ્યક્તિ ટ્રાફિક થતુ હતુ સતા ઍને સોલ કરવા ને બદલે
ઉભો ઉભો માવો ચૉળ હતો
ઍને કીધું તૌ દુર જતો રયો..
આ છે સુરત નું TRB","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2340,Trb વાળા ને મોબાઈલ રાખવાની પણ મનાઈ છે તો પણ પેલો વીડિયો માં જુઓ ગળા માં hands-free નાખી ને વાતો કરે છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2341,વિડિયો ઉતારવાની પરવાનગી સુપ્રિમ કોર્ટે આપી છે લૂખ્ખાઓ...,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2342,"Ane aapne pan મેહુલભાઈ ના આ નિસ્વાર્થ સહયોગ માં ભાગીદાર બનીએ અને કઈ નહિ તો
કોઇ પણ રીતે આપને બંધારણ ના જે નિયમો છે એ નહિ જ તોડીએ,,
અંને જો આપની ઉપર આવી જાય તો આપનો કિંગ બેઠો છે
મેહુલ ભાઈ....","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2343,સાહેબ આવુ બોવ વધી ગયું છે દાદાગીરી ખાસ કરી ને વરાછા મા,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2344,Mobil sathe nathi રાખવાનો તો પણ રાખે છે ...પોલીસ કમિશનર ની વાત પણ નથી માનતા.....,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2345,આ હલકાઓને આવી રીતે જ પાઠ ભણાવી શકાય છે..,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
2346,સાહેબ ટીઆરબી જવાન નાં શર્ટના ખિસ્સામાં મોબાઈલ છે જે પ્રતિબંધિત છે એ માટે આપ ને બે શબ્દો કહેવા જોઈતા હતા,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2347,Trb વારા ચા કરતાં કીટલી ગરમ હોય એ વાક્ય ને સાચું કેવડાવે છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2348,ગુડ જોબ મેહુલ ભાઈ પણ આ જગ્યાએ ટેમ્પો વાળો મને ખરાબ વર્તન મા લાગ્યો એના શબ્દ ફરીથી સાભણ જો ભૈયા ભાઈ હું માર દુગા કાટ દુગા જેવા શબ્દોનો ઉપયોગ કરે છે.આ ખોટું કહેવાય,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2349,ઉતારવાની જરૂર છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2350,સાહેબ હવે તમારા નામે ખોટા લોકો પણ તમારો ઉપયોગ કરે છે તમને સલામ છે પણ આ જગ્યા યે મને ટેમ્પો વારો ખોટો લાગે છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2351,આખો વેચવા કાઢીએ તોય કોઇ અઢીસોમા ના રાખે એવા ભેણ.. કાયદા ખીચામા નાખીને આટા મારે છે અને એનાથી મોટી વાત એ છે કે આવા મફતીયાવનું કોઇ કાઇ તોડી નથી શકતુ,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2352,ટીઆરબી જવાન રજા આપી ઘરે મોકલી આપવામાં આવે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2353,"સાહેબ અમુક નેતાઓ અને અમુક પોલીસ વાળા જ માસ્ક નથી પહેરતા આ લોકો નાક કાન વગર નાં છે એટલે જ માસ્ક નથી પહેરતા માસ્ક પહેરવા માટે પણ નાક કાન હોવા જરૂરી છે
પહેલા તો કાયદા નું પાલન પોતાને કરવું પડે પચી જનતા ને પાલન કરાવે તો વાંધો નય
પોલસ અને નેતા બન્નેએ ગુજરાત ની આબરૂ ના લીરેલીરા કરી નાખ્યાં છે હજી આ લોકો આપણા રાજ્યની શું હાલત કરશે ખબર નથી પડતી","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2354,"આ લોકોના વિડિયો ઉતારનાર ને કર્મચારી પ્રસાશન તેમના માથે કેસ કરી જેલમા પુરી દે છે, એનો કોઈ ચાલુ કાનૂન થી કાનૂનન રસ્તો ખરો ?","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2355,Nitesh Moradiya કેટલા બધા લોકો ના તો મોબાઈલ શુ ગાડી પણ નથી મળતી ફક્ત પોલીસ સ્ટેશન ના ધક્કા મળે છે.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2356,"Nitesh Moradiya ભ્રષ્ટાચાર ને જળ મૂળથી નાબૂદ કરવો પડે
ખોટું થાય ત્યાં દરેક ફરજીયાત વિડિઓ ઉતારી શેર કરવો
ભ્રષ્ટાચાર હટાવો, દેશ બચાવો","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2357,Jayesh Domadiya પેલા પબ્લિક ઈમાનદારી હોવી જોઈ આટલા મોબાઈલ ખોવાઈ છે તેમાંથી કેટલા ઈમાનદારી બતાવે છે 100 માંથી 10 હોય ને મોબાઈલ મલે તો તેના માલિક ને પરત kre1,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2358,આવા લુખ્ખા અને ભ્રષ્ટાચારી તંત્ર અને અધિકારીઓ અને નેતાઓ હોય તો થઈ રહ્યું તત્કાલીન આને દિસમિસ કરવો જોઈએ જેથી સબક મળે બીજા લુખ્ખાઓને. અને એવું ના થાય તો થઈ રહ્યું આ દેશ નુ ભલું. આજ ની યુવા પેઢી ભણી ગણી ને એમનેમ નથી? વિદેશ જવાની મોહ રાખે છે.,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
2359,"Jwalit Yadav ભ્રષ્ટાચાર ને જળ મૂળથી નાબૂદ કરવો પડે
ખોટું થાય ત્યાં દરેક ફરજીયાત વિડિઓ ઉતારી શેર કરવો
ભ્રષ્ટાચાર હટાવો, દેશ બચાવો","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
